YEAR,Actual Rainfall: JUN,Actual Rainfall: JUL,Actual Rainfall: AUG,Actual Rainfall: SEPT,Actual Rainfall: JUN-SEPT,Departure Percentage: JUN,Departure Percentage: JUL,Departure Percentage: AUG,Departure Percentage: SEP,Departure Percentage: JUN-SEPT
1901,109.1,241.4,284.2,121.9,756.6,-29.9,-16.7,11.0,-28.4,-13.1
1902,104.0,283.7,202.6,201.9,792.1,-33.6,-2.0,-21.0,18.7,-9.1
1903,114.8,293.0,279.6,204.4,891.9,-26.6,1.6,9.6,20.3,2.6
1904,158.8,266.4,210.4,129.6,765.2,2.8,-7.7,-17.4,-23.8,-11.8
1905,88.7,252.5,202.6,174.6,718.5,-43.6,-12.3,-21.2,3.2,-17.4
1906,176.9,285.8,259.8,179.8,902.3,14.2,-1.1,2.1,6.4,4.0
1907,150.1,223.5,311.6,95.1,780.3,-3.3,-22.9,23.5,-44.7,-10.0
1908,125.4,331.5,317.0,153.8,927.7,-19.4,15.6,25.6,-9.5,7.4
1909,205.0,318.1,239.9,164.9,927.9,31.8,11.1,-6.0,-2.7,7.1
1910,208.0,248.1,296.9,187.2,940.2,33.5,-14.5,16.9,10.5,8.1
1911,189.5,158.5,212.5,183.1,743.5,21.7,-45.9,-16.4,7.9,-14.7
1912,104.9,337.6,267.7,119.6,829.8,-33.0,17.0,5.3,-29.9,-4.5
1913,214.4,272.0,189.8,108.0,784.3,38.0,-6.0,-25.6,-37.0,-10.0
1914,158.2,358.9,246.2,201.0,964.3,1.1,23.9,-4.3,17.6,10.4
1915,155.0,231.5,233.0,175.2,794.7,-1.3,-20.8,-9.3,2.4,-9.4
1916,233.8,301.5,318.8,202.0,1056.1,34.3,-5.7,20.6,14.9,13.2
1917,218.1,279.3,300.7,283.1,1124.2,37.8,-4.2,17.0,64.5,22.9
1918,206.3,180.4,240.7,109.1,736.5,13.5,-47.1,-11.4,-42.1,-24.9
1919,192.7,323.7,299.8,163.2,979.5,10.3,4.9,15.7,-11.4,5.9
1920,166.3,302.3,190.8,122.2,781.6,-5.6,0.6,-32.5,-33.3,-16.8
1921,190.6,305.6,281.2,209.1,986.4,5.4,-4.5,3.7,16.3,3.7
1922,201.2,326.1,225.6,204.6,957.5,14.5,5.9,-15.5,18.2,3.5
1923,100.7,343.5,277.8,178.9,901.0,-42.7,10.1,7.6,-1.7,-2.5
1924,133.8,334.2,266.4,238.3,972.8,-30.8,8.5,-0.6,36.1,4.1
1925,210.4,313.6,240.4,141.5,905.9,25.4,4.1,-11.4,-30.7,-3.3
1926,97.2,327.8,348.0,210.7,983.7,-48.3,5.5,33.1,21.3,6.9
1927,174.9,354.4,266.7,174.8,970.7,-3.2,14.9,-1.2,-10.5,2.0
1928,178.7,318.5,234.5,144.4,876.0,-1.8,2.4,-15.7,-23.3,-8.6
1929,192.5,296.3,246.8,129.0,864.6,10.4,-2.1,-7.3,-28.9,-6.5
1930,183.9,307.2,208.5,176.8,876.4,7.5,3.1,-25.2,-2.3,-5.4
1931,129.1,319.2,318.9,195.1,962.3,-32.4,0.3,23.2,9.9,2.9
1932,136.8,337.6,238.1,187.2,899.7,-26.9,12.4,-12.4,3.0,-3.7
1933,220.8,293.8,328.2,218.2,1061.0,29.0,-5.2,23.2,25.0,15.1
1934,213.9,292.5,305.5,168.3,980.3,21.3,-7.4,14.9,-5.3,4.7
1935,155.9,324.3,251.3,188.0,919.5,-16.7,6.4,-9.4,3.6,-2.9
1936,252.1,300.6,243.8,197.4,993.9,48.9,-5.6,-9.7,10.1,6.1
1937,164.3,346.2,216.5,176.0,903.1,-2.8,13.3,-21.7,0.2,-2.3
1938,277.2,311.0,253.6,163.1,1005.0,56.6,-2.7,-6.4,-13.0,5.0
1939,167.6,286.0,248.5,158.4,860.5,-7.9,-8.5,-7.5,-11.8,-8.7
1940,178.6,317.1,285.8,123.6,905.0,5.4,0.7,10.3,-35.5,-2.6
1941,166.9,251.4,241.0,154.2,813.5,-2.6,-19.8,-10.5,-16.2,-13.3
1942,187.4,356.6,303.3,193.2,1040.5,3.6,19.2,16.3,10.4,13.8
1943,164.3,324.3,246.6,217.9,953.1,-5.8,6.8,-6.3,22.4,3.7
1944,151.7,362.9,292.8,151.2,958.7,-15.9,21.0,13.5,-17.6,4.8
1945,156.3,333.9,244.3,215.2,949.7,-6.5,8.2,-9.3,25.2,3.7
1946,211.3,323.0,305.4,143.7,983.4,27.1,2.5,16.8,-20.6,6.7
1947,127.1,310.2,294.5,243.7,975.5,-29.2,-2.2,12.7,39.4,5.2
1948,162.1,346.0,295.1,174.1,977.2,-9.4,2.3,10.2,-1.2,1.8
1949,155.2,320.7,241.1,223.9,940.8,-14.7,2.6,-10.3,27.7,0.5
1950,133.3,337.9,245.2,206.8,923.2,-17.6,13.5,-6.4,20.2,3.7
1951,152.6,248.4,227.6,120.6,749.2,-13.6,-18.9,-12.1,-32.9,-18.7
1952,167.8,286.5,262.1,111.4,827.8,2.5,-4.1,0.2,-38.3,-8.2
1953,167.7,336.2,302.7,176.8,983.4,1.0,12.3,18.8,0.0,9.8
1954,140.3,294.4,232.7,247.1,914.4,-13.4,-1.1,-9.8,44.9,3.1
1955,171.9,249.9,317.2,223.0,962.0,9.6,-15.4,24.9,32.7,10.1
1956,200.9,354.7,262.6,169.6,987.8,27.4,22.5,3.7,0.6,13.6
1957,142.2,289.9,283.7,130.7,898.1,-10.8,0.9,12.6,-22.1,-2.4
1958,123.7,326.1,328.7,234.5,1012.9,-28.4,9.7,17.9,34.2,9.8
1959,168.4,374.3,263.3,230.7,1036.7,-3.7,23.0,3.1,33.0,14.3
1960,157.8,322.2,266.5,183.6,930.0,-8.3,3.0,4.5,-1.4,0.6
1961,193.5,345.9,295.7,243.1,1078.2,10.7,18.4,15.6,48.8,21.8
1962,131.2,281.4,270.2,210.8,893.6,-34.4,-5.1,-0.2,28.4,-3.0
1963,155.6,264.5,328.2,163.9,912.2,-11.6,-15.3,21.8,-5.8,-2.1
1964,179.8,358.3,288.4,205.0,1031.4,-5.0,12.6,10.8,17.5,9.8
1965,114.9,282.6,205.4,135.4,738.3,-33.3,-4.8,-22.7,-20.8,-18.2
1966,172.2,251.3,211.9,144.3,779.8,3.6,-15.9,-18.8,-15.4,-13.2
1967,142.6,308.0,266.6,166.9,884.1,-13.1,2.5,7.0,-2.0,0.1
1968,148.4,306.7,207.9,128.6,791.6,-12.5,5.1,-17.3,-24.5,-10.3
1969,128.4,314.0,271.2,174.7,888.3,-23.5,6.6,5.8,2.8,0.2
1970,212.1,253.6,319.3,213.7,998.7,30.7,-16.0,26.0,23.2,12.2
1971,240.6,278.4,256.7,149.8,885.7,43.1,-9.7,5.3,-10.6,4.0
1972,127.4,215.6,218.1,136.3,697.4,-26.7,-31.2,-14.1,-23.6,-23.9
1973,163.8,283.9,314.9,193.4,956.1,-8.0,-3.0,27.8,10.6,7.5
1974,128.3,289.1,239.4,142.0,798.8,-25.6,-4.4,-5.3,-21.8,-12.0
1975,173.8,314.4,296.6,226.7,1011.4,4.9,6.0,21.0,32.2,15.2
1976,155.4,285.3,319.5,141.3,901.5,-9.6,-0.9,28.4,-18.0,2.5
1977,186.4,325.4,249.6,149.9,911.3,14.2,13.2,-1.3,-13.0,4.0
1978,218.1,298.8,279.8,168.6,965.2,30.8,1.7,13.5,-4.3,9.2
1979,132.4,264.2,199.3,128.9,724.8,-15.5,-16.0,-18.5,-27.6,-19.0
1980,219.8,293.3,256.8,142.2,912.1,37.7,1.0,1.8,-19.3,3.9
1981,165.8,309.8,228.2,183.3,887.1,-4.0,6.5,-8.7,4.3,-0.2
1982,134.5,234.9,267.7,130.3,767.4,-16.8,-23.1,8.9,-32.2,-14.5
1983,152.2,285.5,309.5,254.2,1001.5,-6.8,-4.3,23.8,43.5,13.0
1984,178.9,285.3,235.8,159.8,859.8,13.2,-7.9,-4.1,-15.0,-4.4
1985,157.3,281.9,239.1,154.2,832.5,-6.4,-5.6,-4.9,-13.3,-7.1
1986,174.1,251.3,218.9,125.5,769.9,10.8,-14.2,-12.7,-31.2,-12.7
1987,133.8,234.1,264.3,142.4,774.6,-21.6,-28.8,-3.7,-25.1,-19.4
1988,165.8,381.6,325.1,221.5,1094.1,6.8,26.6,14.9,24.6,19.3
1989,194.7,318.6,235.7,171.0,920.0,19.3,5.1,-7.2,-10.2,0.9
1990,191.7,280.4,294.5,205.8,972.3,12.0,-4.1,12.3,9.1,6.2
1991,181.0,276.2,247.2,123.9,828.3,8.5,-8.7,-4.5,-33.8,-9.3
1992,126.3,243.1,289.1,173.2,831.7,-22.0,-19.1,14.7,-2.6,-6.7
1993,172.4,294.9,198.8,239.6,905.7,3.5,-4.5,-25.2,36.9,-0.9
1994,208.8,355.9,289.8,146.7,1001.2,29.0,20.8,12.7,-17.1,12.5
1995,135.1,313.0,259.8,192.4,900.3,-23.6,3.5,-0.4,6.4,-1.9
1996,184.8,286.6,308.5,155.2,935.1,14.5,-7.3,19.4,-12.2,3.4
1997,180.2,296.6,282.4,168.1,927.3,6.4,-1.6,9.3,-6.1,2.2
1998,167.8,296.5,261.4,217.3,943.1,-4.3,-2.1,0.9,26.5,4.0
1999,175.2,273.5,223.7,190.8,863.1,5.1,-8.8,-15.5,10.9,-4.4
2000,190.4,273.6,229.7,139.9,833.7,14.9,-7.7,-12.7,-21.9,-7.8
2001,219.0,279.5,209.2,114.2,821.9,35.6,-4.8,-19.5,-35.8,-7.8
2002,180.1,146.2,259.8,151.2,737.3,9.4,-54.2,-1.7,-12.9,-19.2
2003,179.9,317.8,252.3,169.5,919.5,9.8,6.5,-4.5,-1.5,2.3
2004,158.7,242.1,248.7,124.6,774.2,-0.8,-19.9,-4.3,-30.0,-13.8
2005,143.2,334.1,190.1,206.9,874.3,-9.5,14.7,-28.4,20.3,-1.3
2006,141.8,287.6,281.3,178.6,889.3,-12.7,-2.0,7.3,2.3,-0.4
2007,192.5,286.2,257.4,206.8,943.0,18.5,-2.4,-1.8,18.4,5.7
2008,202.0,244.9,265.8,165.1,877.7,24.3,-16.5,1.4,-5.5,-1.7
2009,85.7,280.6,192.5,139.4,698.2,-47.2,-4.3,-26.5,-20.2,-21.8
2010,138.1,300.7,274.7,197.7,911.1,-15.6,2.8,4.9,12.0,2.0
2011,183.5,246.0,284.9,186.9,901.3,12.2,-14.9,9.1,7.7,1.6
2012,117.8,250.2,262.4,193.5,823.9,-28.0,-13.4,0.5,11.5,-7.1
2013,219.8,310.0,254.7,152.7,937.2,34.4,7.3,-2.4,-12.0,5.6
2014,95.2,261.1,237.4,187.9,781.7,-41.7,-9.6,-9.0,8.3,-11.9
2015,189.0,240.8,204.2,131.8,764.9,15.5,-16.7,-21.9,-24.0,-13.8
,,,,,,,,,,
,,,,,,,,,,
