YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC
1998,18.84,20.6,22.98,27,29.18,28.88,27.78,27.42,26.7,25.27,22.48,19.21,24.76,19.72,26.41,27.69,22.42
1999,18.32,21.26,24.18,27.66,28.13,27.95,27.58,27.08,26.9,24.97,22.33,19.57,24.67,19.75,26.66,27.38,22.29
2000,18.87,19.78,23.22,27.27,28.92,28.02,27.34,26.98,26.53,25.58,22.75,19.66,24.6,19.33,26.47,27.23,22.68
2001,18.5,21,24.12,26.9,29.46,28.13,27.63,27.62,26.86,25.49,22.51,19.55,24.73,19.75,26.82,27.47,22.52
2002,18.78,20.52,24.44,27.66,29.56,28.77,28.47,27.27,26.43,25.44,23.17,19.87,25,19.65,27.22,27.71,22.58
2003,18.6,21.03,23.62,27.29,28.64,29.01,27.53,27.25,26.75,24.92,22.17,19.59,24.72,19.82,26.52,27.64,22.23
2004,18.83,21.03,26.19,27.38,28.12,27.94,27.44,27.16,26.8,24.34,22.43,19.93,24.74,19.93,27.06,27.33,22.24
2005,19.07,20.51,24.14,26.62,28.22,28.99,27.34,27.41,26.82,24.84,21.73,19.23,24.58,19.79,26.33,27.64,21.93
2006,19.96,23.02,23.91,26.83,28.82,28.13,27.92,27.15,26.42,25.41,22.59,19.99,25.06,21.33,26.52,27.4,22.66
2007,19.24,20.97,23.52,27.72,28.84,28.31,27.66,27.37,26.61,24.92,22.4,19.65,24.77,20.1,26.69,27.49,22.32
2008,18.49,19.83,24.43,26.54,28.42,28.1,27.5,27,26.44,25.47,22.51,20.62,24.61,19.16,26.46,27.26,22.87
2009,19.79,21.66,24.55,27.35,28.71,28.77,27.83,27.85,27.11,25.2,22.31,20.22,25.11,20.72,26.86,27.89,22.58
2010,19.15,21.23,26.53,28.4,29.19,28.51,27.55,27.33,26.6,25.58,22.98,19.22,25.13,20.19,27.83,27.5,22.6
2011,18.32,20.79,24.11,26.1,28.92,28.6,27.6,27.2,26.7,25.51,22.84,19.84,24.67,19.54,26.38,27.54,22.71
2012,18.25,20.43,23.98,26.89,28.72,28.91,27.98,27.31,26.65,24.85,22.26,19.91,24.69,19.34,26.55,27.71,22.35
2013,18.88,21.07,24.53,26.97,29.06,28.24,27.5,27.22,26.87,25.63,22.18,19.69,24.82,19.98,26.85,27.46,22.5
2014,18.81,20.35,23.34,26.91,28.45,29.42,28.07,27.42,26.61,25.38,22.53,19.5,24.73,19.58,26.24,27.88,22.47
2015,19.02,21.23,23.52,26.52,28.82,28.15,28.03,27.64,27.04,25.82,22.95,20.21,24.91,20.12,26.29,27.73,22.99
,,,,,,,,,,,,,,,,,
,   ,,,,,,,,,,,,,,,,
